    Hinst Name                                       Module Name                Inst Count           Total Area
------------------------------------------------------------------------------------------------------------
r29_int4                                                                              2051             8087.916
 counter_inst_0__u_counter_asyn                      counter_asyn_REG_SIZE16_28         48              225.264
  counter_inst_0__u_counter_asyn/reg_gen_0__u_dreg   dreg_463                            2               11.732
  counter_inst_0__u_counter_asyn/reg_gen_10__u_dreg  dreg_453                            2               11.732
  counter_inst_0__u_counter_asyn/reg_gen_11__u_dreg  dreg_452                            2               11.732
  counter_inst_0__u_counter_asyn/reg_gen_12__u_dreg  dreg_451                            2               11.732
  counter_inst_0__u_counter_asyn/reg_gen_13__u_dreg  dreg_450                            2               11.732
  counter_inst_0__u_counter_asyn/reg_gen_14__u_dreg  dreg_449                            2               11.732
  counter_inst_0__u_counter_asyn/reg_gen_15__u_dreg  dreg_448                            2               11.732
  counter_inst_0__u_counter_asyn/reg_gen_1__u_dreg   dreg_462                            2               11.732
  counter_inst_0__u_counter_asyn/reg_gen_2__u_dreg   dreg_461                            2               11.732
  counter_inst_0__u_counter_asyn/reg_gen_3__u_dreg   dreg_460                            2               11.732
  counter_inst_0__u_counter_asyn/reg_gen_4__u_dreg   dreg_459                            2               11.732
  counter_inst_0__u_counter_asyn/reg_gen_5__u_dreg   dreg_458                            2               11.732
  counter_inst_0__u_counter_asyn/reg_gen_6__u_dreg   dreg_457                            2               11.732
  counter_inst_0__u_counter_asyn/reg_gen_7__u_dreg   dreg_456                            2               11.732
  counter_inst_0__u_counter_asyn/reg_gen_8__u_dreg   dreg_455                            2               11.732
  counter_inst_0__u_counter_asyn/reg_gen_9__u_dreg   dreg_454                            2               11.732
 counter_inst_10__u_counter_asyn                     counter_asyn_REG_SIZE16_18         48              225.264
  counter_inst_10__u_counter_asyn/reg_gen_0__u_dreg  dreg_303                            2               11.732
  counter_inst_10__u_counter_asyn/reg_gen_10__u_dreg dreg_293                            2               11.732
  counter_inst_10__u_counter_asyn/reg_gen_11__u_dreg dreg_292                            2               11.732
  counter_inst_10__u_counter_asyn/reg_gen_12__u_dreg dreg_291                            2               11.732
  counter_inst_10__u_counter_asyn/reg_gen_13__u_dreg dreg_290                            2               11.732
  counter_inst_10__u_counter_asyn/reg_gen_14__u_dreg dreg_289                            2               11.732
  counter_inst_10__u_counter_asyn/reg_gen_15__u_dreg dreg_288                            2               11.732
  counter_inst_10__u_counter_asyn/reg_gen_1__u_dreg  dreg_302                            2               11.732
  counter_inst_10__u_counter_asyn/reg_gen_2__u_dreg  dreg_301                            2               11.732
  counter_inst_10__u_counter_asyn/reg_gen_3__u_dreg  dreg_300                            2               11.732
  counter_inst_10__u_counter_asyn/reg_gen_4__u_dreg  dreg_299                            2               11.732
  counter_inst_10__u_counter_asyn/reg_gen_5__u_dreg  dreg_298                            2               11.732
  counter_inst_10__u_counter_asyn/reg_gen_6__u_dreg  dreg_297                            2               11.732
  counter_inst_10__u_counter_asyn/reg_gen_7__u_dreg  dreg_296                            2               11.732
  counter_inst_10__u_counter_asyn/reg_gen_8__u_dreg  dreg_295                            2               11.732
  counter_inst_10__u_counter_asyn/reg_gen_9__u_dreg  dreg_294                            2               11.732
 counter_inst_11__u_counter_asyn                     counter_asyn_REG_SIZE16_17         48              225.264
  counter_inst_11__u_counter_asyn/reg_gen_0__u_dreg  dreg_287                            2               11.732
  counter_inst_11__u_counter_asyn/reg_gen_10__u_dreg dreg_277                            2               11.732
  counter_inst_11__u_counter_asyn/reg_gen_11__u_dreg dreg_276                            2               11.732
  counter_inst_11__u_counter_asyn/reg_gen_12__u_dreg dreg_275                            2               11.732
  counter_inst_11__u_counter_asyn/reg_gen_13__u_dreg dreg_274                            2               11.732
  counter_inst_11__u_counter_asyn/reg_gen_14__u_dreg dreg_273                            2               11.732
  counter_inst_11__u_counter_asyn/reg_gen_15__u_dreg dreg_272                            2               11.732
  counter_inst_11__u_counter_asyn/reg_gen_1__u_dreg  dreg_286                            2               11.732
  counter_inst_11__u_counter_asyn/reg_gen_2__u_dreg  dreg_285                            2               11.732
  counter_inst_11__u_counter_asyn/reg_gen_3__u_dreg  dreg_284                            2               11.732
  counter_inst_11__u_counter_asyn/reg_gen_4__u_dreg  dreg_283                            2               11.732
  counter_inst_11__u_counter_asyn/reg_gen_5__u_dreg  dreg_282                            2               11.732
  counter_inst_11__u_counter_asyn/reg_gen_6__u_dreg  dreg_281                            2               11.732
  counter_inst_11__u_counter_asyn/reg_gen_7__u_dreg  dreg_280                            2               11.732
  counter_inst_11__u_counter_asyn/reg_gen_8__u_dreg  dreg_279                            2               11.732
  counter_inst_11__u_counter_asyn/reg_gen_9__u_dreg  dreg_278                            2               11.732
 counter_inst_12__u_counter_asyn                     counter_asyn_REG_SIZE16_16         48              225.264
  counter_inst_12__u_counter_asyn/reg_gen_0__u_dreg  dreg_271                            2               11.732
  counter_inst_12__u_counter_asyn/reg_gen_10__u_dreg dreg_261                            2               11.732
  counter_inst_12__u_counter_asyn/reg_gen_11__u_dreg dreg_260                            2               11.732
  counter_inst_12__u_counter_asyn/reg_gen_12__u_dreg dreg_259                            2               11.732
  counter_inst_12__u_counter_asyn/reg_gen_13__u_dreg dreg_258                            2               11.732
  counter_inst_12__u_counter_asyn/reg_gen_14__u_dreg dreg_257                            2               11.732
  counter_inst_12__u_counter_asyn/reg_gen_15__u_dreg dreg_256                            2               11.732
  counter_inst_12__u_counter_asyn/reg_gen_1__u_dreg  dreg_270                            2               11.732
  counter_inst_12__u_counter_asyn/reg_gen_2__u_dreg  dreg_269                            2               11.732
  counter_inst_12__u_counter_asyn/reg_gen_3__u_dreg  dreg_268                            2               11.732
  counter_inst_12__u_counter_asyn/reg_gen_4__u_dreg  dreg_267                            2               11.732
  counter_inst_12__u_counter_asyn/reg_gen_5__u_dreg  dreg_266                            2               11.732
  counter_inst_12__u_counter_asyn/reg_gen_6__u_dreg  dreg_265                            2               11.732
  counter_inst_12__u_counter_asyn/reg_gen_7__u_dreg  dreg_264                            2               11.732
  counter_inst_12__u_counter_asyn/reg_gen_8__u_dreg  dreg_263                            2               11.732
  counter_inst_12__u_counter_asyn/reg_gen_9__u_dreg  dreg_262                            2               11.732
 counter_inst_13__u_counter_asyn                     counter_asyn_REG_SIZE16_15         48              225.264
  counter_inst_13__u_counter_asyn/reg_gen_0__u_dreg  dreg_255                            2               11.732
  counter_inst_13__u_counter_asyn/reg_gen_10__u_dreg dreg_245                            2               11.732
  counter_inst_13__u_counter_asyn/reg_gen_11__u_dreg dreg_244                            2               11.732
  counter_inst_13__u_counter_asyn/reg_gen_12__u_dreg dreg_243                            2               11.732
  counter_inst_13__u_counter_asyn/reg_gen_13__u_dreg dreg_242                            2               11.732
  counter_inst_13__u_counter_asyn/reg_gen_14__u_dreg dreg_241                            2               11.732
  counter_inst_13__u_counter_asyn/reg_gen_15__u_dreg dreg_240                            2               11.732
  counter_inst_13__u_counter_asyn/reg_gen_1__u_dreg  dreg_254                            2               11.732
  counter_inst_13__u_counter_asyn/reg_gen_2__u_dreg  dreg_253                            2               11.732
  counter_inst_13__u_counter_asyn/reg_gen_3__u_dreg  dreg_252                            2               11.732
  counter_inst_13__u_counter_asyn/reg_gen_4__u_dreg  dreg_251                            2               11.732
  counter_inst_13__u_counter_asyn/reg_gen_5__u_dreg  dreg_250                            2               11.732
  counter_inst_13__u_counter_asyn/reg_gen_6__u_dreg  dreg_249                            2               11.732
  counter_inst_13__u_counter_asyn/reg_gen_7__u_dreg  dreg_248                            2               11.732
  counter_inst_13__u_counter_asyn/reg_gen_8__u_dreg  dreg_247                            2               11.732
  counter_inst_13__u_counter_asyn/reg_gen_9__u_dreg  dreg_246                            2               11.732
 counter_inst_14__u_counter_asyn                     counter_asyn_REG_SIZE16_14         48              225.264
  counter_inst_14__u_counter_asyn/reg_gen_0__u_dreg  dreg_239                            2               11.732
  counter_inst_14__u_counter_asyn/reg_gen_10__u_dreg dreg_229                            2               11.732
  counter_inst_14__u_counter_asyn/reg_gen_11__u_dreg dreg_228                            2               11.732
  counter_inst_14__u_counter_asyn/reg_gen_12__u_dreg dreg_227                            2               11.732
  counter_inst_14__u_counter_asyn/reg_gen_13__u_dreg dreg_226                            2               11.732
  counter_inst_14__u_counter_asyn/reg_gen_14__u_dreg dreg_225                            2               11.732
  counter_inst_14__u_counter_asyn/reg_gen_15__u_dreg dreg_224                            2               11.732
  counter_inst_14__u_counter_asyn/reg_gen_1__u_dreg  dreg_238                            2               11.732
  counter_inst_14__u_counter_asyn/reg_gen_2__u_dreg  dreg_237                            2               11.732
